CANNOT chose from супоръ	 to 	супои, сугръ	 distance == 2
CANNOT chose from заграда	 to 	засада, ограда	 distance == 2
CANNOT chose from дрѣмание	 to 	рѣзание, урѣкание, дѣлание, прѣдание	 distance == 2
CANNOT chose from попяти	 to 	потяти, поняти, подяти, пояти	 distance == 1
CANNOT chose from свивати	 to 	сбивати, сливати, свитати	 distance == 1
CANNOT chose from ѣмнець	 to 	вѣнець, агнець, унець, нѣмець, конець, единець, гонець, чернець	 distance == 2
CANNOT chose from родство	 to 	юродство, уродство	 distance == 1
CANNOT chose from дощка	 to 	дощечка, дска	 distance == 2
CANNOT chose from иулиадъ	 to 	иулиянъ, улианъ	 distance == 2
CANNOT chose from омракъ	 to 	фракъ, зракъ, бракъ, мразъ, макъ	 distance == 2
CANNOT chose from флоръ	 to 	федоръ, фуръ	 distance == 2
CANNOT chose from елки	 to 	туки, егри, ереи, дѣтки, шелкъ, бѣлка, буки, церки, щелка	 distance == 2
CANNOT chose from стадный	 to 	стыдный, студный	 distance == 1
CANNOT chose from кнея	 to 	коря, ксеня	 distance == 2
CANNOT chose from небылый	 to 	дебелый, несытый	 distance == 2
CANNOT chose from выристати	 to 	ристати, взрастати, пристати, вычистити	 distance == 2
CANNOT chose from упои	 to 	супои, убои	 distance == 1
CANNOT chose from лаконъ	 to 	лакотъ, ладонъ, законъ	 distance == 1
CANNOT chose from изволочи	 to 	изволити, выволочи, разволочи, изволочити, заволочи, сволочи	 distance == 2
CANNOT chose from зинонъ	 to 	канонъ, лимонъ, пинокъ, зиновя, звонъ, симонъ, инокъ, сионъ, никонъ, законъ	 distance == 2
CANNOT chose from гаида	 to 	обида, таина, гриба, гридь, глина, гадира, галица, галка, груда, жажда, гадъ	 distance == 2
CANNOT chose from довести	 to 	донести, повести	 distance == 1
CANNOT chose from улита	 to 	улица, плита	 distance == 1
CANNOT chose from ероовъ	 to 	иродовъ, етоновъ, еноховъ, берновъ, кротовъ	 distance == 2
CANNOT chose from волынский	 to 	волошский, воинский	 distance == 2
CANNOT chose from дробити	 to 	пробити, добити, робити	 distance == 1
CANNOT chose from бѣлець	 to 	палець, селедь, вѣнець, лѣчець, пѣшець, пѣвець, нѣмець, талець, зелень, бедерь, сѣчець	 distance == 2
CANNOT chose from лѣчба	 to 	сѣча, лѣна, мечта, луча, верба, цѣлба, рѣчка	 distance == 2
CANNOT chose from иудѣи	 to 	фудри, луеи, иереи, инди	 distance == 2
CANNOT chose from уаръ	 to 	даръ, ларъ, харъ, ударъ	 distance == 1
CANNOT chose from выйти	 to 	выйдти, выти	 distance == 1
CANNOT chose from скривити	 to 	скрушити, скроити, скрутити, скрывати, сдравити	 distance == 2
CANNOT chose from риксъ	 to 	крикъ, лисъ, ликъ, римъ	 distance == 2
CANNOT chose from сосница	 to 	солоница, десница	 distance == 2
CANNOT chose from ражещи	 to 	ражечи, зажещи, раждещи	 distance == 1
CANNOT chose from иудѣя	 to 	судия, ездѣя, индия	 distance == 2
CANNOT chose from снѣтный	 to 	свѣтный, снѣдный	 distance == 1
CANNOT chose from быковый	 to 	соковый, каковый, таковый, сяковый	 distance == 2
CANNOT chose from злумие	 to 	лубие, злобие	 distance == 2
CANNOT chose from обѣчати	 to 	обѣдати, облѣчати, обѣщати	 distance == 1
CANNOT chose from ломъ	 to 	домъ, ловъ, лобъ, лотъ	 distance == 1
CANNOT chose from исади	 to 	сани, исавъ, исаия, исакъ, исакий, садъ, инди	 distance == 2
CANNOT chose from тина	 to 	тиуна, таина	 distance == 1
CANNOT chose from песный	 to 	пещный, десный	 distance == 1
CANNOT chose from исцѣлѣти	 to 	исцѣляти, исцѣлити	 distance == 1
CANNOT chose from чтець	 to 	лтець, штець, отець	 distance == 1
CANNOT chose from учанъ	 to 	уланъ, тчанъ	 distance == 1
CANNOT chose from пленный	 to 	плотный, полезный	 distance == 2
CANNOT chose from пламенный	 to 	знаменный, каменный, плачевный	 distance == 2
CANNOT chose from ватага	 to 	катарга, сатана	 distance == 2
CANNOT chose from чухома	 to 	мурома, сухота	 distance == 2
CANNOT chose from звяцати	 to 	звати, вязати, увязати, связати, свящати	 distance == 2
CANNOT chose from липа	 to 	сила, аепа, жила, вина, лжица, лисъ, длина, луда, мина, запа, улица, либь, шляпа, папа, глина, лука, лѣна, лихва, риза, плита, луча, хижа, лжа, нива, лице, ликъ, рѣпа, лия, лапша, щпа, пища, луга, купа, рига, литва, слива, литра, зима, вира, лоза, луна	 distance == 2
CANNOT chose from схолия	 to 	софия, ролия	 distance == 2
CANNOT chose from грива	 to 	гриба, гривна	 distance == 1
CANNOT chose from пожерти	 to 	пожити, пожрѣти, померети, пожати	 distance == 2
CANNOT chose from излагати	 to 	низлагати, взлагати	 distance == 1
CANNOT chose from скалуша	 to 	скала, малуша	 distance == 2
CANNOT chose from обнизити	 to 	обинити, обнищати, обновити, обличити, облизати, обнажити, обвинити	 distance == 2
CANNOT chose from шеловъ	 to 	шелепъ, шевъ, ловъ, кловъ, шелкъ, уловъ	 distance == 2
CANNOT chose from рослажати	 to 	досажати, роскачати, прохлажати, наслажати, посажати	 distance == 2
CANNOT chose from мжити	 to 	ожити, мнити, жити	 distance == 1
CANNOT chose from сбѣгнути	 to 	вбѣгнути, бѣгнути	 distance == 1
CANNOT chose from отвѣдати	 to 	отвѣчати, отвѣщати	 distance == 1
CANNOT chose from увядати	 to 	увѣдати, увязати	 distance == 1
CANNOT chose from лудъ	 to 	ледъ, луда, ладъ	 distance == 1
CANNOT chose from июдѣи	 to 	иереи, июда, инди	 distance == 2
CANNOT chose from ислѣдити	 to 	слѣпити, усладити, исходити, наслѣдити, исцѣлити, ослѣпити	 distance == 2
CANNOT chose from сглашение	 to 	сгражение, сгрѣшение, страшение	 distance == 2
CANNOT chose from обучати	 to 	учати, поучати	 distance == 2
CANNOT chose from лучинъ	 to 	чинъ, пучина, усчинъ, лубенъ, лучанинъ, лукянъ, лучъ, шуринъ, логинъ, людинъ, чудинъ, русинъ	 distance == 2
CANNOT chose from опроврещи	 to 	поврѣщи, испроврѣщи, приврѣщи	 distance == 2
CANNOT chose from рушанинъ	 to 	лучанинъ, рижанинъ	 distance == 2
CANNOT chose from бучание	 to 	мучение, бужане, ругание, учение	 distance == 2
CANNOT chose from усрѣтение	 to 	стрѣтение, свѣтѣние	 distance == 2
CANNOT chose from бумага	 to 	смага, брага	 distance == 2
CANNOT chose from торжекъ	 to 	торжникъ, горшекъ, мозжекъ	 distance == 2
CANNOT chose from дание	 to 	дань, данъ	 distance == 2
CANNOT chose from богша	 to 	богъ, борба, нога, полша, бочка	 distance == 2
CANNOT chose from лахана	 to 	латина, сатана, лаванъ, ладанъ	 distance == 2
CANNOT chose from кликание	 to 	сливание, кричание, плакание, алкание	 distance == 2
CANNOT chose from прирѣзъ	 to 	приказъ, приѣздъ, привѣтъ, прирокъ, привозъ	 distance == 2
CANNOT chose from древяный	 to 	дровяный, деревяный	 distance == 1
CANNOT chose from измѣрити	 to 	измѣнити, взмѣрити	 distance == 1
CANNOT chose from бещиние	 to 	бесчиние, вещание, обѣщание	 distance == 2
CANNOT chose from сматряти	 to 	смотрѣти, смиряти, смѣряти, умаряти	 distance == 2
CANNOT chose from полтовескъ	 to 	полотескъ, полтескъ	 distance == 2
CANNOT chose from теплица	 to 	келица, темница	 distance == 2
CANNOT chose from глѣбовый	 to 	глѣбовъ, лѣсовый	 distance == 2
CANNOT chose from обисѣсти	 to 	осѣсти, обрѣсти, обидѣти	 distance == 2
CANNOT chose from поползнути	 to 	поползти, пополнити	 distance == 2
CANNOT chose from чумъ	 to 	умъ, шумъ	 distance == 1
CANNOT chose from гудити	 to 	судити, будити, губити, чудити, нудити	 distance == 1
CANNOT chose from поразумѣти	 to 	разумѣти, уразумѣти	 distance == 2
CANNOT chose from владѣние	 to 	видѣние, блюдение, падение, варение	 distance == 2
CANNOT chose from лестковый	 to 	ласковый, лѣсовый	 distance == 2
CANNOT chose from влѣсти	 to 	всѣсти, влѣзти	 distance == 1
CANNOT chose from забвение	 to 	заговѣние, затмение, заушение, застѣние	 distance == 2
CANNOT chose from бровный	 to 	ровный, кровный	 distance == 1
CANNOT chose from разрѣшати	 to 	раздрѣшити, разрушити, разѣвати	 distance == 2
CANNOT chose from кобудъ	 to 	обѣдъ, кобъ, клобукъ	 distance == 2
CANNOT chose from клостати	 to 	постати, остати, достати, хвостати, глотати, блистати	 distance == 2
CANNOT chose from уша	 to 	уза, душа, суша, уха, рша	 distance == 1
CANNOT chose from унизити	 to 	ушибити, изити, умирити, удивити, учинити, унимати, умилити	 distance == 2
CANNOT chose from арсиноя	 to 	аксиня, асиня	 distance == 2
CANNOT chose from мемнонъ	 to 	дѣмонъ, семеонъ, меронъ	 distance == 2
CANNOT chose from питба	 to 	питие, татба, пытка, путша, притча, потка, плита, пища, изба, литва, пята, литра, нитка	 distance == 2
CANNOT chose from нерадити	 to 	отрадити, оградити, радити	 distance == 2
CANNOT chose from трѣскание	 to 	урѣкание, плескание	 distance == 2
CANNOT chose from вимофъ	 to 	лимонъ, римовъ, симонъ, видокъ	 distance == 2
CANNOT chose from маронъ	 to 	маринъ, меронъ	 distance == 1
CANNOT chose from огорнути	 to 	огорчати, обогнути	 distance == 2
CANNOT chose from понизити	 to 	починити, подивити, поразити, понудити, повинити, помирити, поносити, похитити	 distance == 2
CANNOT chose from напросити	 to 	попросити, упросити, отпросити, направити, впросити, наносити, просити, наплонити, спросити, напоити, наровити, испросити	 distance == 2
CANNOT chose from побѣгивати	 to 	побивати, побѣгати	 distance == 2
CANNOT chose from всияние	 to 	влияние, сияние	 distance == 1
CANNOT chose from мрети	 to 	мѣти, грети	 distance == 1
CANNOT chose from рикание	 to 	писание, рѣзание, урѣкание, кричание, рыдание, алкание, ругание, зидание	 distance == 2
CANNOT chose from уклюдити	 to 	уклонити, ключити, усладити, уладити, сключити, укладати	 distance == 2
CANNOT chose from сидонъ	 to 	симонъ, сионъ	 distance == 1
CANNOT chose from роздавати	 to 	роздавити, раздавати	 distance == 1
CANNOT chose from герионъ	 to 	ларионъ, неронъ, гедеонъ, германъ, меронъ	 distance == 2
CANNOT chose from ивла	 to 	сила, жила, евга, зола, хула, игра, икра, овца, висла, июда, нива, сула, бѣла, изба, хвала	 distance == 2
CANNOT chose from зажжение	 to 	сажение, затмение, разжжение, заушение, застѣние, кажение, ожжение	 distance == 2
CANNOT chose from вечерие	 to 	вечеръ, вечеря	 distance == 2
CANNOT chose from ослѣпляти	 to 	оцѣпляти, ослѣпити, ослабляти	 distance == 2
CANNOT chose from няти	 to 	наяти, уняти	 distance == 1
CANNOT chose from дорида	 to 	орда, обида, дория, борода, досада, орина, дора, дорога, солида, порода	 distance == 2
CANNOT chose from оттрясти	 to 	потрясти, трясти	 distance == 2
CANNOT chose from томление	 to 	отомщение, моление	 distance == 2
CANNOT chose from кожий	 to 	кий, кчий	 distance == 2
CANNOT chose from догнати	 to 	вогнати, согнати, погнати	 distance == 1
CANNOT chose from канинъ	 to 	канонъ, канунъ	 distance == 1
CANNOT chose from исказити	 to 	искатати, сказати, искусити, испалити, сразити, искупити, излазити, искочити, казити, иставити, искати, исчазати	 distance == 2
CANNOT chose from дѣтиный	 to 	жениный, доиный, аепиный, десный, утиный	 distance == 2
CANNOT chose from вѣтвие	 to 	шствие, вѣте, пѣтие	 distance == 2
CANNOT chose from женень	 to 	дѣдень, сѣмень	 distance == 2
CANNOT chose from притужати	 to 	приступати, прибѣжати, прижати, прилежати, приѣзжати, прикупати, пружати, пригожати	 distance == 2
CANNOT chose from иуилъ	 to 	идолъ, кирилъ, курилъ	 distance == 2
CANNOT chose from корѣинъ	 to 	торчинъ, корень	 distance == 2
CANNOT chose from вырискати	 to 	вытаскати, взискати	 distance == 2
CANNOT chose from усмотрити	 to 	уморити, расмотрити, смотрѣти, осмотрѣти, ускорити	 distance == 2
CANNOT chose from антифонъ	 to 	антонъ, антиохъ	 distance == 2
CANNOT chose from присягнути	 to 	прибѣгнути, пристигнути	 distance == 2
CANNOT chose from менфи	 to 	сѣни, меоти	 distance == 2
CANNOT chose from колзкий	 to 	колский, коликий	 distance == 1
CANNOT chose from дафанъ	 to 	дамианъ, дамасъ, казанъ, саванъ, данъ, кафтанъ, асанъ, каганъ, кафаръ, кабанъ, аранъ, баранъ, заганъ, лаванъ, ладанъ, таганъ	 distance == 2
CANNOT chose from пренести	 to 	пронести, перенести	 distance == 1
CANNOT chose from трубечь	 to 	трубежь, трубешь	 distance == 1
CANNOT chose from сочба	 to 	сосна, роба, судба, борба, сѣча, соска, молба, сочко, почка, бочка	 distance == 2
CANNOT chose from мясникъ	 to 	мостникъ, мѣрникъ, мечникъ, мытникъ, местникъ	 distance == 2
CANNOT chose from наворотити	 to 	взворотити, наколотити, наволочити, воротити	 distance == 2
CANNOT chose from расудъ	 to 	ссудъ, судъ, асмудъ, асуръ, асупъ, насадъ, разумъ	 distance == 2
CANNOT chose from вымолити	 to 	выложити, выносити, выползти, вывалити, умолити, помолити, молити, выходити	 distance == 2
CANNOT chose from облачити	 to 	обличити, облачати	 distance == 1
CANNOT chose from наталия	 to 	камалия, италия	 distance == 2
CANNOT chose from алта	 to 	аепа, сыта, рота, фата, лто, анна, мста, нарта, палка, плита, лжа, фота, башта, галка, пята, тафта, уста, олга	 distance == 2
CANNOT chose from локна	 to 	лѣна, луна	 distance == 2
CANNOT chose from нута	 to 	нура, нужа	 distance == 1
CANNOT chose from поджещи	 to 	пожещи, подтещи	 distance == 1
CANNOT chose from поводь	 to 	оводъ, походъ, повозъ	 distance == 2
CANNOT chose from драчи	 to 	врачь, раи, дача, краи, дчи	 distance == 2
CANNOT chose from дхновение	 to 	мгновение, мановение	 distance == 2
CANNOT chose from поводъ	 to 	оводъ, походъ, повозъ	 distance == 1
CANNOT chose from полѣсти	 to 	посѣсти, плести, полѣзти, повѣсти	 distance == 1
CANNOT chose from вслати	 to 	выслати, всылати	 distance == 1
CANNOT chose from побости	 to 	порости, пробости	 distance == 1
CANNOT chose from лѣчити	 to 	лѣнити, лучити	 distance == 1
CANNOT chose from лозина	 to 	година, латина, орина, конина, козлина, логинъ, воина, гобина, лысина, лоза	 distance == 2
CANNOT chose from кузнь	 to 	казнь, кознь	 distance == 1
CANNOT chose from адидъ	 to 	радимъ, адамъ, жидъ, диръ, асиръ, видъ, адъ, дѣдъ	 distance == 2
CANNOT chose from блато	 to 	благо, злато	 distance == 1
CANNOT chose from исаий	 to 	исаия, исакий	 distance == 1
CANNOT chose from лѣяти	 to 	дѣяти, лаяти, лѣзти, сѣяти, лияти	 distance == 1
CANNOT chose from уклюнути	 to 	укланяти, уклонити, плюнути	 distance == 2
CANNOT chose from тировати	 to 	торговати, даровати, зимовати, дивовати, вѣровати, чаровати, миновати, лиховати, воровати, миловати	 distance == 2
CANNOT chose from охлотъ	 to 	полотъ, плотъ, лотъ	 distance == 2
CANNOT chose from батый	 to 	тый, батко	 distance == 2
CANNOT chose from улавчий	 to 	славлий, флавий	 distance == 2
CANNOT chose from накапити	 to 	накапати, накопити	 distance == 1
CANNOT chose from грязнути	 to 	грязнити, угрязнути	 distance == 1
CANNOT chose from перский	 to 	пермский, персский	 distance == 1
CANNOT chose from кокъ	 to 	ковъ, кобъ, бокъ, колъ, сокъ	 distance == 1
CANNOT chose from прикровъ	 to 	покровъ, прирокъ	 distance == 2
CANNOT chose from зачерсти	 to 	завести, заперети, замерзти	 distance == 2
CANNOT chose from шити	 to 	сити, сшити, уити, пити, лити, жити, бити, вити	 distance == 1
CANNOT chose from ткнути	 to 	тонути, тянути	 distance == 1
CANNOT chose from сврабъ	 to 	струбъ, рабъ, смрадъ, срамъ, аврамъ, страхъ, сваръ, врагъ, вранъ	 distance == 2
CANNOT chose from скрячи	 to 	впрячи, скрыти, стричи	 distance == 2
CANNOT chose from морокъ	 to 	порокъ, морозъ	 distance == 1
CANNOT chose from изливати	 to 	взливати, избивати	 distance == 1
CANNOT chose from посѣчи	 to 	посѣщи, росѣчи, просѣчи, осѣчи	 distance == 1
CANNOT chose from ринъ	 to 	чинъ, римъ	 distance == 1
CANNOT chose from посинение	 to 	посѣчение, посѣщение	 distance == 2
CANNOT chose from желчь	 to 	жердь, зель, рель, печь, жерць, рѣчь, желудь, щель, елычь, жаль, мѣль, мечь	 distance == 2
CANNOT chose from сдѣяние	 to 	дѣяние, одѣяние	 distance == 1
CANNOT chose from высити	 to 	выпити, выбити, вѣсити	 distance == 1
CANNOT chose from частити	 to 	участити, честити	 distance == 1
CANNOT chose from язычный	 to 	лычный, ячный, обычный	 distance == 2
CANNOT chose from тетка	 to 	котка, потка, утка	 distance == 2
CANNOT chose from игрець	 to 	корець, агнець, огурець, изгрѣбь, истець, ларець	 distance == 2
CANNOT chose from погинути	 to 	починути, погибнути, покинути	 distance == 1
CANNOT chose from потягати	 to 	поторгати, тягати	 distance == 2
CANNOT chose from превѣчный	 to 	привѣтный, праведный, бревенный, пѣсечный	 distance == 2
CANNOT chose from осмникъ	 to 	постникъ, отѣникъ, мостникъ	 distance == 2
CANNOT chose from росникъ	 to 	постникъ, мостникъ, конникъ, сотникъ, ружникъ, сродникъ, ратникъ	 distance == 2
CANNOT chose from кудимъ	 to 	пудикъ, кудма, радимъ, рувимъ, кумиръ, чудинъ, курилъ	 distance == 2
CANNOT chose from похотный	 to 	плотный, портный, постный	 distance == 2
CANNOT chose from выдавити	 to 	выдаяти, выпарити, подавити, задавити, вдавати, вытащити, вывалити, высадити, вставити, давити, вылазити, вдарити, выдати, удавити	 distance == 2
CANNOT chose from вспяти	 to 	всияти, вспѣти	 distance == 1
CANNOT chose from трисвятый	 to 	триклятый, прѣсвятый	 distance == 2
CANNOT chose from обидникъ	 to 	побѣдникъ, обещникъ	 distance == 2
CANNOT chose from карити	 to 	курити, корити	 distance == 1
CANNOT chose from братанъ	 to 	братина, братъ, братръ, баранъ, фрутанъ, батманъ	 distance == 2
CANNOT chose from деснець	 to 	вѣнець, десница, чернець	 distance == 2
CANNOT chose from трѣскати	 to 	таскати, трепати, стрѣкати, трѣснути, прѣсѣкати, рыскати, прѣстати	 distance == 2
CANNOT chose from нилъ	 to 	било, нить, гниль	 distance == 2
CANNOT chose from тѣльный	 to 	тѣлесный, тѣсный	 distance == 2
CANNOT chose from сряща	 to 	срѣда, свѣща	 distance == 2
CANNOT chose from ниций	 to 	сиций, нищий	 distance == 1
CANNOT chose from трети	 to 	отрѣти, тети, грети	 distance == 1
CANNOT chose from бенешь	 to 	вѣнець, бендерь, бедерь	 distance == 2
CANNOT chose from обавляти	 to 	оправляти, ставляти, оставляти, избавляти, опаляти, обавити	 distance == 2
CANNOT chose from истлѣвати	 to 	исцѣлѣвати, истекати, склевати	 distance == 2
CANNOT chose from убранити	 to 	обранити, бранити	 distance == 1
CANNOT chose from отрочий	 to 	отчий, прочий	 distance == 2
CANNOT chose from мудрокъ	 to 	судокъ, урокъ, муромъ, гудокъ, курокъ, медокъ	 distance == 2
CANNOT chose from устя	 to 	усть, уста, усте	 distance == 1
CANNOT chose from подняти	 to 	подаяти, подтяти, подѣяти, поняти, подяти	 distance == 1
CANNOT chose from лысый	 to 	лычный, лисий, сырый, лѣпый, лютый, босый, лѣвый, сытый, любый	 distance == 2
CANNOT chose from влещи	 to 	врещи, лещи, взлещи, влечи, вжещи	 distance == 1
CANNOT chose from тснути	 to 	тонути, тянути, уснути	 distance == 1
CANNOT chose from арфасъ	 to 	атласъ, аранъ	 distance == 2
CANNOT chose from дерзый	 to 	сѣрый, черный, мерзлый, вѣрный, десный	 distance == 2
CANNOT chose from скорость	 to 	старость, скудость, користь	 distance == 2
CANNOT chose from взлѣгати	 to 	взлогати, взлагати	 distance == 1
CANNOT chose from порушити	 to 	посушити, поручити	 distance == 1
CANNOT chose from несда	 to 	нужда, нерча, бѣда, нерпа, весна, десна, бесѣда, неука	 distance == 2
CANNOT chose from мухание	 to 	метание, мучение, ругание, дыхание	 distance == 2
CANNOT chose from прехождение	 to 	преложение, прихожение	 distance == 2
CANNOT chose from предание	 to 	рѣзание, урѣкание, рыдание, сѣдание, обѣдание	 distance == 2
CANNOT chose from уламляти	 to 	умаляти, срамляти, удаляти	 distance == 2
CANNOT chose from лѣсный	 to 	бѣсный, тѣсный	 distance == 1
CANNOT chose from лупъ	 to 	лукъ, лучъ, пупъ, лугъ, лубъ	 distance == 1
CANNOT chose from фаа	 to 	фата, фара	 distance == 1
CANNOT chose from ужещи	 to 	ижещи, ожещи	 distance == 1
CANNOT chose from поринути	 to 	починути, покинути	 distance == 1
CANNOT chose from мокрота	 to 	ворота, доброта	 distance == 2
CANNOT chose from мракъ	 to 	фракъ, зракъ, бракъ, мразъ, макъ	 distance == 1
CANNOT chose from ласковъ	 to 	фастовъ, ласковый	 distance == 2
CANNOT chose from вмѣтати	 to 	омѣтати, вмѣщати	 distance == 1
CANNOT chose from кубокъ	 to 	кусокъ, курокъ	 distance == 1
CANNOT chose from олкса	 to 	олена, полка, голка, ока, олга	 distance == 2
CANNOT chose from вышко	 to 	вѣчко, ляшко, вѣко, вятко, лыко	 distance == 2
CANNOT chose from обложити	 to 	обломити, отложити	 distance == 1
CANNOT chose from небожный	 to 	небесный, нероженый	 distance == 2
CANNOT chose from курикъ	 to 	крикъ, курокъ	 distance == 1
CANNOT chose from гнѣдый	 to 	гордый, нѣмый, гнилый, снѣдный	 distance == 2
CANNOT chose from благоволение	 to 	благовѣщение, благоговѣние	 distance == 2
CANNOT chose from учестити	 to 	участити, честити	 distance == 1
CANNOT chose from предирещи	 to 	прѣдтещи, прѣдречи	 distance == 2
CANNOT chose from прелщение	 to 	прощение, преложение	 distance == 2
CANNOT chose from ражагати	 to 	налагати, разжигати, зажигати, ражати	 distance == 2
CANNOT chose from актаи	 to 	ратаи, краи	 distance == 2
CANNOT chose from погребение	 to 	потрѣбление, поврѣжение	 distance == 2
CANNOT chose from худший	 to 	унший, худый	 distance == 2
CANNOT chose from завѣщати	 to 	извѣщати, завести, заметати, заѣхати, засѣкати, затрещати, вѣщати, задѣлати, зарѣзати, свѣщати, взвѣщати, увѣщати, запрѣщати, отвѣщати	 distance == 2
CANNOT chose from изгонъ	 to 	иргенъ, изгои	 distance == 2
CANNOT chose from расылати	 to 	рассылати, расыпати	 distance == 1
CANNOT chose from отишие	 to 	обилие, олшие	 distance == 2
CANNOT chose from плава	 to 	плаха, глава, слава	 distance == 1
CANNOT chose from лѣпъ	 to 	лѣпѣи, лѣпый	 distance == 2
CANNOT chose from ржевский	 to 	женский, киевский	 distance == 2
CANNOT chose from сверстникъ	 to 	вѣстникъ, свѣтникъ	 distance == 2
CANNOT chose from анановъ	 to 	ивановъ, амоновъ, адамовъ	 distance == 2
CANNOT chose from санокъ	 to 	останокъ, санъ, саукъ	 distance == 2
CANNOT chose from орловъ	 to 	олговъ, пословъ	 distance == 2
CANNOT chose from внутрений	 to 	утрений, вѣтрений, нутреный, заутрений	 distance == 2
CANNOT chose from ахавъ	 to 	исавъ, нравъ, асатъ, асанъ, адамъ, сахаръ, харъ, хамъ, аранъ, ханъ	 distance == 2
CANNOT chose from лстець	 to 	лтець, истець	 distance == 1
CANNOT chose from обискати	 to 	доискати, сискати, поискати, искати	 distance == 2
CANNOT chose from кюриякъ	 to 	крикъ, рюрикъ	 distance == 2
CANNOT chose from сжечи	 to 	сѣчи, сжещи, слечи, стечи, жечи	 distance == 1
CANNOT chose from тури	 to 	туры, туръ	 distance == 1
CANNOT chose from преходити	 to 	проходити, переходити	 distance == 1
CANNOT chose from рубежь	 to 	трубежь, рубець	 distance == 1
CANNOT chose from мозырь	 to 	пузырь, мозоль	 distance == 2
CANNOT chose from притяжати	 to 	прибѣжати, прижати, прилежати, привязати, приѣзжати, пригожати	 distance == 2
CANNOT chose from сомино	 to 	сочиво, гобино	 distance == 2
CANNOT chose from стлещи	 to 	стрѣщи, свлѣщи	 distance == 1
CANNOT chose from маври	 to 	мати, мария, маи, мамврий	 distance == 2
CANNOT chose from мегльный	 to 	хмельный, земльный, тельный	 distance == 2
CANNOT chose from наставление	 to 	направление, уставление, поставление, оставление	 distance == 2
CANNOT chose from вихоръ	 to 	взоръ, воръ, иворъ, нахоръ, риторъ, видокъ	 distance == 2
CANNOT chose from поспѣшение	 to 	посѣчение, посѣщение, потѣшение, послушение, попечение	 distance == 2
CANNOT chose from горний	 to 	горий, горкий, горший	 distance == 1
CANNOT chose from премножение	 to 	прѣдложение, преложение	 distance == 2
CANNOT chose from лакония	 to 	ликаония, панония	 distance == 2
CANNOT chose from класный	 to 	квасный, красный	 distance == 1
CANNOT chose from воигость	 to 	волость, погость	 distance == 2
CANNOT chose from ошелъ	 to 	оселъ, орелъ	 distance == 1
CANNOT chose from фругий	 to 	фригия, вручий	 distance == 2
CANNOT chose from коломна	 to 	колода, коломанъ, солома, соломка	 distance == 2
CANNOT chose from чпагъ	 to 	часъ, спасъ, врагъ, шпага	 distance == 2
CANNOT chose from шатерный	 to 	татебный, матерний, матерны	 distance == 2
CANNOT chose from насылати	 to 	насыпати, насыщати	 distance == 1
CANNOT chose from подостояти	 to 	достояти, постояти, простояти	 distance == 2
CANNOT chose from горка	 to 	голка, гора	 distance == 1
CANNOT chose from стражба	 to 	страна, стражь	 distance == 2
CANNOT chose from сечь	 to 	семь, печь, мечь	 distance == 1
CANNOT chose from далство	 to 	дѣиство, дѣтство, дѣвство	 distance == 2
CANNOT chose from ефудъ	 to 	судъ, удъ, пудъ, фуръ	 distance == 2
CANNOT chose from попадати	 to 	пропадати, попахати	 distance == 1
CANNOT chose from ищазати	 to 	сказати, мазати, указати, казати, исчазати	 distance == 2
CANNOT chose from любный	 to 	людный, любый	 distance == 1
CANNOT chose from розгрети	 to 	созрѣти, дозрѣти, разгорѣти, возрѣти, розбрати, прозрѣти, позрѣти	 distance == 2
CANNOT chose from вспустити	 to 	выпустити, впустити, спустити, испустити	 distance == 1
CANNOT chose from суровъ	 to 	турдовъ, гудовъ, симовъ, сифовъ, дировъ, чудовъ, суровый, бутовъ, исусовъ	 distance == 2
CANNOT chose from вѣрование	 to 	чарование, бѣсование, цѣлование, дарование, сѣтование	 distance == 2
CANNOT chose from гийкъ	 to 	грекъ, ликъ, пискъ, диякъ	 distance == 2
CANNOT chose from празный	 to 	разный, праздный	 distance == 1
CANNOT chose from ступание	 to 	спание, стяжание, стонание, стенание	 distance == 2
CANNOT chose from блщание	 to 	обѣщание, блевание	 distance == 2
CANNOT chose from злодѣяти	 to 	подѣяти, одѣяти	 distance == 2
CANNOT chose from учредити	 to 	утрудити, прѣдити, врѣдити, предити, урядити, укрѣпити, вередити	 distance == 2
CANNOT chose from поводити	 to 	проводити, доводити, породити, походити	 distance == 1
CANNOT chose from вывлачити	 to 	влачити, вывалити, вылазити	 distance == 2
CANNOT chose from харитонъ	 to 	ларионъ, хараонъ	 distance == 2
CANNOT chose from случь	 to 	лучъ, слухъ, селунь	 distance == 2
CANNOT chose from учрежение	 to 	брежение, уряжение	 distance == 2
CANNOT chose from плѣшь	 to 	плѣнь, плѣщь	 distance == 1
CANNOT chose from смотрение	 to 	смѣрение, смирение, стрение	 distance == 2
CANNOT chose from клектати	 to 	клеветати, блекотати	 distance == 2
CANNOT chose from попорникъ	 to 	полонникъ, покоиникъ, помощникъ, повозникъ	 distance == 2
CANNOT chose from трубити	 to 	срубити, рубити, трудити, трѣбити	 distance == 1
CANNOT chose from лубяный	 to 	льняный, зубный, лукиный	 distance == 2
CANNOT chose from низина	 to 	натина, тишина, никита, ирина, ширина	 distance == 2
CANNOT chose from прострищи	 to 	простити, ростричи, прострѣти, пострѣщи, острищи, постричи	 distance == 2
CANNOT chose from арсений	 to 	армения, иргений	 distance == 2
